"Rule ID","Rule","Reaction order","EC number"
"1.2.-1.b","([#16]-[#6:2]([C:4])=[O:1])>>([H][#6:2]([C:4])=[O:1])",1,"1.2.-1.-"
"1.2.7.a","([H][#8]-[#6](=O)-[#6:2](-[#6,#8,#16,#1:6])=[O:1])>>([#16]-[#6:2](-[*:6])=[O:1])",1,"1.2.7.-"
"1.3.-1.d","([H][C:1]([#6:3])([#6:4])[C:2]([H])([*:5])[*:6])>>([#6:3]\[#6:1](-[#6:4])=[#6:2](\[*:5])[*:6])",1,"1.3.-1.-"
"1.3.1.e","([H][C:4]1([H:12])[#6:5](-[OH,#9,#17,#35:8])=[#6:6](-[OH,#9,#17,#35:7])[C:1]([H])([H:11])[#6:2](-[OH,#9,#17,#35:10])=[#6:3]1-[OH,#9,#17,#35:9])>>([H:12][#6:4]-1=[#6:3](-[*:9])-[#6:2](-[*:10])=[#6:1]([H:11])-[#6:6](-[*:7])=[#6:5]-1-[*:8])",1,"1.3.1.-"
"1.3.-1.e","([H:12][#6:4]-1=[#6:3](-[OH,#9,#17,#35:9])-[#6:2](-[OH,#9,#17,#35:10])=[#6:1]([H:11])-[#6:6](-[OH,#9,#17,#35:7])=[#6:5]-1-[OH,#9,#17,#35:8])>>([H][C:4]1([H:12])[#6:5]([*:8])=[#6:6]([*:7])[C:1]([H])([H:11])[#6:2]([*:10])=[#6:3]1[*:9])",1,"1.3.-1.-"
"1.3.1.g","([H:4]\[#6:1](-[#6:3])=[#6:2](\[H:5])[*:6])>>([H][C:1]([H:4])([#6:3])[C:2]([H:5])([H])[*:6])",1,"1.3.1.-"
"2.3.1.c","([H:10][#8:8][C:4]([H:12])(-[#16,#1:5])[C:3]([H:11])(-[#6,#1:6])[#6:2](-[#6,#1:1])=[O:7])>>([#16]-[#6:2](-[*:1])=[O:7].[H:10][#8:8][C:4]([H:12])([*:5])[C:3]([H:11])([H])-[#6,#1:6])",1,"2.3.1.-"
"2.3.1.g","([#16:4]-[#6:1](-[*:3])=[O:2])>>([H:8][C:5]([H:9])([#6:1](-[#16:4])=[O:2])[#6:6](-[*:3])=[O:7])",1,"2.3.1.-"
"2.3.-3.a","([H][#8]-[#6](=O)-[#6][C:1](-[#6,#1:3])(-[#6,#1:4])[#8:2][H])>>([*:4]-[#6:1](-[*:3])=[O:2])",1,"2.3.-3.-"
"4.2.-1.c","([H:11][#8:10]-[#6:9](=[O:12])[C:4]([H:8])([#7:5]([H:7])[H:6])[C:3](-[*:2])(-[*:1])[#8]-[*])>>([H:11][#8:10]-[#6:9](=[O:12])[C:4]([H:8])([#7:5]([H:7])[H:6])[C:3](-[*:1])(-[*:2])[#6]-1=[#6]-[#6]=[#6](-[#8][H])-[#6]=[#6]-1)",1,"4.2.-1.-"
