"Rule ID","Rule","EC number","Reaction order","Diameter","Score"
"MNXR15003_MNXM987","([#1:1]-[#8:2]-[#6:3](=[#7:4]-[#6:5](-[#1:6])(-[#1:7])-[#6:8](-[#1:9])(-[#1:10])-[#16:11]-[#6:12](=[#8:13])-[#6:14](-[#1:15])=[#6:16](-[#1:17])-[#6:18]1:[#6:19](-[#1:20]):[#6:21](-[#1:22]):[#6:23]:[#6:24](-[#1:25]):[#6:26]:1-[#1:27])-[#6:28](-[#1:29])(-[#1:30])-[#6:31])>>([#1]-[#16:11]-[#6:8](-[#1:9])(-[#1:10])-[#6:5](-[#1:7])(-[#1:6])-[#7:4]=[#6:3](-[#8:2]-[#1:1])-[#6:28](-[#1:29])(-[#1:30])-[#6:31].[#1]-[#8]-[#6:12](-[#6:14](-[#1:15])=[#6:16](-[#1:17])-[#6:18]1:[#6:19](:[#6:21](:[#6:23]:[#6:24](-[#1:25]):[#6:26]:1-[#1:27])-[#1:22])-[#1:20])=[#8:13])","6.2.1.12","1","12","1.255272505103306"
"MNXR17733_MNXM5901","([#1:1]-[#8:2]-[#6:3]1:[#6:4](-[#1:5]):[#6:6](-[#8:7]-[#1:8]):[#6:9](-[#6:10](=[#8:11])-[#6:12](-[#1:13])=[#6:14](-[#1:15])-[#6:16]2:[#6:24](:[#6:22](:[#6:21]:[#6:19](-[#1:20]):[#6:17]:2-[#1:18])-[#1:23])-[#1:25]):[#6:26](-[#8:27]-[#1:28]):[#6:29]:1-[#1:30])>>([#1]-[#8]-[#6](=[#7]-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#16]-[#6:10](=[#8:11])-[#6:12](-[#1:13])=[#6:14](-[#6:16]1:[#6:24](:[#6:22](:[#6:21]:[#6:19](-[#1:20]):[#6:17]:1-[#1:18])-[#1:23])-[#1:25])-[#1:15])-[#1])-[#6](-[#6](-[#1])(-[#1])-[#7]=[#6](-[#8]-[#1])-[#6](-[#8]-[#1])(-[#1])-[#6](-[#6](-[#1])(-[#1])-[#8]-[#15](-[#8]-[#15](-[#8]-[#1])(=[#8])-[#8]-[#6](-[#1])(-[#1])-[#6]1(-[#8]-[#6](-[#6](-[#1])(-[#8]-[#1])-[#6]-1(-[#1])-[#8]-[#15](-[#8]-[#1])(-[#8]-[#1])=[#8])(-[#7]1:[#6]2:[#6](:[#6](:[#7]:[#6](:[#7]:2)-[#1])-[#7](-[#1])-[#1]):[#7]:[#6]:1-[#1])-[#1])-[#1])(=[#8])-[#8]-[#1])(-[#6](-[#1])(-[#1])-[#1])-[#6](-[#1])(-[#1])-[#1])(-[#1])-[#1].[#1]-[#8]-[#6](=[#7]-[#6](-[#6](-[#16]-[#6:3](-[#6:29](-[#1:28])(-[#1:30])-[#6](=[#8])-[#8]-[#1:8])=[#8:2])(-[#1])-[#1])(-[#1])-[#1])-[#6](-[#6](-[#7]=[#6](-[#8]-[#1])-[#6](-[#1])(-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#6](-[#1])(-[#1])-[#1])-[#6](-[#1])(-[#1])-[#8]-[#15](-[#8]-[#15](-[#8]-[#1])(=[#8])-[#8]-[#6](-[#1])(-[#1])-[#6]1(-[#1])-[#8]-[#6](-[#6](-[#8]-[#1])(-[#1])-[#6]-1(-[#1])-[#8]-[#15](-[#8]-[#1])(=[#8])-[#8]-[#1])(-[#1])-[#7]1:[#6](-[#1]):[#7]:[#6]2:[#6](:[#7]:[#6](:[#7]:[#6]:1:2)-[#1])-[#7](-[#1])-[#1])(=[#8])-[#8]-[#1])-[#8]-[#1])(-[#1])-[#1])(-[#1])-[#1].[#1]-[#8]-[#6](=[#8])-[#6:4](-[#1])(-[#1:5])-[#6:6](=[#8:7])-[#16]-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#1])-[#7]=[#6](-[#8]-[#1])-[#6](-[#6](-[#1])(-[#7]=[#6](-[#8]-[#1])-[#6](-[#1])(-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#6](-[#1])(-[#1])-[#1])-[#6](-[#1])(-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#15](-[#8]-[#1])(=[#8])-[#8]-[#6](-[#1])(-[#1])-[#6]1(-[#1])-[#6](-[#6](-[#8]-[#1])(-[#1])-[#6](-[#8]-1)(-[#1])-[#7]1:[#6](-[#1]):[#7]:[#6]2:[#6](:[#7]:[#6](:[#7]:[#6]:1:2)-[#1])-[#7](-[#1])-[#1])(-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#1])-[#8]-[#1])-[#1])(-[#1])-[#1].[#1]-[#8]-[#6](=[#8])-[#6:9](-[#1:1])(-[#1])-[#6:26](=[#8:27])-[#16]-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#1])-[#7]=[#6](-[#8]-[#1])-[#6](-[#6](-[#1])(-[#7]=[#6](-[#8]-[#1])-[#6](-[#1])(-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#6](-[#1])(-[#1])-[#1])-[#6](-[#1])(-[#1])-[#8]-[#15](-[#8]-[#15](-[#8]-[#1])(=[#8])-[#8]-[#6](-[#1])(-[#1])-[#6]1(-[#1])-[#8]-[#6](-[#6](-[#8]-[#1])(-[#1])-[#6]-1(-[#1])-[#8]-[#15](-[#8]-[#1])(=[#8])-[#8]-[#1])(-[#1])-[#7]1:[#6](-[#1]):[#7]:[#6]2:[#6](:[#7]:[#6](:[#7]:[#6]:1:2)-[#1])-[#7](-[#1])-[#1])(=[#8])-[#8]-[#1])-[#8]-[#1])-[#1])(-[#1])-[#1])","2.3.1.74","1","12","1.0791812460476249"
"MNXR18415_MNXM264","([#1:1]-[#8:2]-[#6:3]1:[#6:4](-[#1:5]):[#6:6](:[#6:8](-[#6:9](-[#1:10])=[#6:11](-[#6:13])-[#1:12]):[#6:14](-[#1:15]):[#6:16]:1-[#1:17])-[#1:7])>>([#1:1]-[#6:3]1:[#6:4](:[#6:6](:[#6:8](-[#6:9](=[#6:11](-[#6:13])-[#1:12])-[#1:10]):[#6:14](:[#6:16]:1-[#1:17])-[#1:15])-[#1:7])-[#1:5].[#8]=[#8:2])","1.14.13.11","1","12","0.0"
"MNXR227_MNXM264","([#1:1]-[#8:2]-[#6:3](=[#7:4]-[#6:5](-[#6:8](-[#16:11]-[#6:12](-[#6:14](=[#6:16](-[#6:18]1:[#6:19](:[#6:21](:[#6:23]:[#6:24](:[#6:26]:1-[#1:27])-[#1:25])-[#1:22])-[#1:20])-[#1:17])-[#1:15])=[#8:13])(-[#1:9])-[#1:10])(-[#1:6])-[#1:7])-[#6:28](-[#1:29])(-[#1:30])-[#6:31])>>([#1]-[#16:11]-[#6:8](-[#6:5](-[#1:6])(-[#7:4]=[#6:3](-[#8:2]-[#1:1])-[#6:28](-[#1:29])(-[#1:30])-[#6:31])-[#1:7])(-[#1:9])-[#1:10].[#1]-[#8]-[#6:12](-[#6:14](-[#1:15])=[#6:16](-[#6:18]1:[#6:19](-[#1:20]):[#6:21](-[#1:22]):[#6:23]:[#6:24](-[#1:25]):[#6:26]:1-[#1:27])-[#1:17])=[#8:13])","6.2.1.12","1","12","1.255272505103306"
"MNXR7111_MNXM505","([#1:1]-[#8:2]-[#6:3]1:[#6:4](-[#1:5]):[#6:6](:[#6:8](:[#6:14](-[#1:15]):[#6:16]:1-[#1:17])-[#6:9](-[#1:10])=[#6:11](-[#6:13])-[#1:12])-[#1:7])>>([#1]-[#6:3]1:[#6:16](-[#1:17]):[#6:14](:[#6:8](-[#6:9](=[#6:11](-[#6:13])-[#1:12])-[#1:10]):[#6:6](:[#6:4]:1-[#1:5])-[#1:7])-[#1:15].[#1]-[#7]=[#6](-[#8]-[#1])-[#6]1=[#6](-[#1])-[#7](-[#6](-[#1])=[#6](-[#1])-[#6]-1(-[#1])-[#1:1])-[#6]1(-[#1])-[#8]-[#6](-[#1])(-[#6](-[#1])(-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#6](-[#1])(-[#1])-[#6]2(-[#6](-[#6](-[#1])(-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#1])-[#6](-[#8]-2)(-[#1])-[#7]2:[#6]3:[#7]:[#6](:[#7]:[#6](-[#7](-[#1])-[#1]):[#6]:3:[#7]:[#6]:2-[#1])-[#1])(-[#1])-[#8]-[#1])-[#1])-[#6](-[#1])(-[#8]-[#1])-[#6]-1(-[#1])-[#8]-[#1].[#8]=[#8:2])","1.14.13.11","1","12","0.0"
"MNXR7145_MNXM438","([#1:1]-[#8:2]-[#6:3](=[#8:4])-[#6:5](-[#1:6])=[#6:7](-[#1:8])-[#6:9]1:[#6:10](:[#6:12](-[#1:13]):[#6:14](-[#1:15]):[#6:16](-[#1:17]):[#6:18]:1-[#1:19])-[#1:11])>>([#1]-[#7](-[#1])-[#6:5](-[#6:3](-[#8:2]-[#1:1])=[#8:4])(-[#1:6])-[#6:7](-[#6:9]1:[#6:10](:[#6:12](:[#6:14](-[#1:15]):[#6:16](-[#1:17]):[#6:18]:1-[#1:19])-[#1:13])-[#1:11])(-[#1])-[#1:8])","4.3.1.25","1","12","1.0"
"MNXR84871_MNXM1208","([#1:1]-[#8:2]-[#6:3]1:[#6:4](-[#1:5]):[#6:6](-[#8:7]-[#1:8]):[#6:9](-[#6:10](-[#6:12](=[#6:14](-[#6:16]2:[#6:17](:[#6:19](:[#6:21]:[#6:22](:[#6:24]:2-[#1:25])-[#1:23])-[#1:20])-[#1:18])-[#1:15])-[#1:13])=[#8:11]):[#6:26](:[#6:29]:1-[#1:30])-[#8:27]-[#1:28])>>([#1]-[#8]-[#6](-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#7]=[#6](-[#6](-[#1])(-[#8]-[#1])-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#6](-[#1])(-[#1])-[#1])-[#6](-[#8]-[#15](-[#8]-[#1])(-[#8]-[#15](-[#8]-[#1])(=[#8])-[#8]-[#6](-[#1])(-[#1])-[#6]1(-[#6](-[#6](-[#1])(-[#8]-[#1])-[#6](-[#8]-1)(-[#1])-[#7]1:[#6]2:[#6](:[#6](-[#7](-[#1])-[#1]):[#7]:[#6](-[#1]):[#7]:2):[#7]:[#6]:1-[#1])(-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#1])-[#1])=[#8])(-[#1])-[#1])-[#8]-[#1])-[#1])=[#7]-[#6](-[#6](-[#16]-[#6:10](-[#6:12](=[#6:14](-[#6:16]1:[#6:24](-[#1:25]):[#6:22](-[#1:23]):[#6:21]:[#6:19](-[#1:20]):[#6:17]:1-[#1:18])-[#1:15])-[#1:13])=[#8:11])(-[#1])-[#1])(-[#1])-[#1].[#1]-[#8]-[#6](=[#7]-[#6](-[#6](-[#16]-[#6:26](-[#6:9](-[#1:28])(-[#1:1])-[#6](=[#8])-[#8]-[#1:8])=[#8:27])(-[#1])-[#1])(-[#1])-[#1])-[#6](-[#6](-[#1])(-[#7]=[#6](-[#8]-[#1])-[#6](-[#1])(-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#6](-[#1])(-[#1])-[#1])-[#6](-[#1])(-[#1])-[#8]-[#15](-[#8]-[#15](-[#8]-[#1])(=[#8])-[#8]-[#6](-[#1])(-[#1])-[#6]1(-[#1])-[#8]-[#6](-[#6](-[#8]-[#1])(-[#1])-[#6]-1(-[#1])-[#8]-[#15](-[#8]-[#1])(=[#8])-[#8]-[#1])(-[#1])-[#7]1:[#6](-[#1]):[#7]:[#6]2:[#6](:[#7]:[#6](:[#7]:[#6]:1:2)-[#1])-[#7](-[#1])-[#1])(=[#8])-[#8]-[#1])-[#8]-[#1])-[#1])(-[#1])-[#1].[#1]-[#8]-[#6](=[#8])-[#6:29](-[#1])(-[#1:30])-[#6:3](=[#8:2])-[#16]-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#1])-[#7]=[#6](-[#8]-[#1])-[#6](-[#6](-[#1])(-[#7]=[#6](-[#8]-[#1])-[#6](-[#1])(-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#6](-[#1])(-[#1])-[#1])-[#6](-[#1])(-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#15](-[#8]-[#1])(=[#8])-[#8]-[#6](-[#1])(-[#1])-[#6]1(-[#1])-[#6](-[#6](-[#8]-[#1])(-[#1])-[#6](-[#8]-1)(-[#1])-[#7]1:[#6](-[#1]):[#7]:[#6]2:[#6](:[#7]:[#6](:[#7]:[#6]:1:2)-[#1])-[#7](-[#1])-[#1])(-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#1])-[#8]-[#1])-[#1])(-[#1])-[#1].[#1]-[#8]-[#6](=[#8])-[#6:4](-[#1])(-[#1:5])-[#6:6](=[#8:7])-[#16]-[#6](-[#1])(-[#1])-[#6](-[#1])(-[#1])-[#7]=[#6](-[#8]-[#1])-[#6](-[#6](-[#7]=[#6](-[#8]-[#1])-[#6](-[#1])(-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#6](-[#1])(-[#1])-[#1])-[#6](-[#1])(-[#1])-[#8]-[#15](-[#8]-[#15](-[#8]-[#1])(=[#8])-[#8]-[#6](-[#1])(-[#1])-[#6]1(-[#1])-[#8]-[#6](-[#6](-[#8]-[#1])(-[#1])-[#6]-1(-[#1])-[#8]-[#15](-[#8]-[#1])(=[#8])-[#8]-[#1])(-[#1])-[#7]1:[#6](-[#1]):[#7]:[#6]2:[#6](:[#7]:[#6](:[#7]:[#6]:1:2)-[#1])-[#7](-[#1])-[#1])(=[#8])-[#8]-[#1])-[#8]-[#1])(-[#1])-[#1])(-[#1])-[#1])","2.3.1.74","1","12","1.0791812460476249"
"MNXR84948_MNXM556","([#1:1]-[#8:2]-[#6:3]1:[#6:4](-[#1:5]):[#6:6](-[#1:7]):[#6:8](-[#6:9]2(-[#6:26](-[#6:24](=[#8:25])-[#6:23]3:[#6:12](-[#8:11]-2):[#6:13](-[#1:14]):[#6:15](:[#6:18](:[#6:20]:3-[#8:21]-[#1:22])-[#1:19])-[#8:16]-[#1:17])(-[#1:27])-[#1:28])-[#1:10]):[#6:29](:[#6:31]:1-[#1:32])-[#1:30])>>([#1:1]-[#8:2]-[#6:3]1:[#6:4](-[#1:5]):[#6:6](-[#1:7]):[#6:8](:[#6:29](-[#1:30]):[#6:31]:1-[#1:32])-[#6:9](-[#1:10])=[#6:26](-[#1:27])-[#6:24](=[#8:25])-[#6:23]1:[#6:12](:[#6:13](:[#6:15](:[#6:18](-[#1:19]):[#6:20]:1-[#8:21]-[#1:22])-[#8:16]-[#1:17])-[#1:14])-[#8:11]-[#1:28])","5.5.1.6","1","12","0.0"
"MNXR85459_MNXM1025","([#1:1]-[#8:2]-[#6:3]1:[#6:4](-[#1:5]):[#6:6](-[#1:7]):[#6:8](:[#6:28](-[#1:29]):[#6:30]:1-[#1:31])-[#6:9]1(-[#1:10])-[#8:11]-[#6:12]2:[#6:22](:[#6:20](:[#6:18](-[#1:19]):[#6:15](-[#8:16]-[#1:17]):[#6:13]:2-[#1:14])-[#1:21])-[#6:23](=[#8:24])-[#6:25]-1(-[#1:26])-[#1:27])>>([#1:1]-[#8:2]-[#6:3]1:[#6:30](:[#6:28](:[#6:8](-[#6:9](=[#6:25](-[#1:26])-[#6:23](=[#8:24])-[#6:22]2:[#6:12](:[#6:13](-[#1:14]):[#6:15](:[#6:18](-[#1:19]):[#6:20]:2-[#1:21])-[#8:16]-[#1:17])-[#8:11]-[#1:27])-[#1:10]):[#6:6](:[#6:4]:1-[#1:5])-[#1:7])-[#1:29])-[#1:31])","5.5.1.6","1","12","0.0"
"MNXR8874_MNXM505","([#1:1]-[#8:2]-[#6:3](=[#8:4])-[#6:5](-[#1:6])=[#6:7](-[#1:8])-[#6:9]1:[#6:10](-[#1:11]):[#6:12](-[#1:13]):[#6:14](-[#8:15]-[#1:16]):[#6:17](-[#1:18]):[#6:19]:1-[#1:20])>>([#1]-[#7](-[#1])-[#6:5](-[#6:3](=[#8:2])-[#8:4]-[#1])(-[#6:7](-[#1:1])(-[#6:9]1:[#6:10](-[#1:11]):[#6:12](:[#6:14](:[#6:17](-[#1:18]):[#6:19]:1-[#1:20])-[#8:15]-[#1:16])-[#1:13])-[#1:8])-[#1:6])","4.3.1.25","1","12","0.90308998699194354"
